ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Classification
GO:0007520	myoblast fusion	1/823	70/65628	0.0142857142857143	1.13917722617601	0.13129291319509	0.586808778447398	0.68680010350352	0.625663689074645	ENSMUSG00000038119(Cdon)	1	biological_process
GO:0007565	female pregnancy	3/823	207/65628	0.0144927536231884	1.15568704104813	0.252822652977622	0.481707891051744	0.610097386449108	0.555788765251099	ENSMUSG00000003545(Fosb)/ENSMUSG00000033685(Ucp2)/ENSMUSG00000021250(Fos)	3	biological_process
GO:0007566	embryo implantation	4/823	166/65628	0.0240963855421687	1.92150375499568	1.33965649634824	0.156598335895789	0.468540312922619	0.426832580787245	ENSMUSG00000028967(Errfi1)/ENSMUSG00000007880(Arid1a)/ENSMUSG00000032409(Atr)/ENSMUSG00000034394(Lif)	4	biological_process
GO:0007601	visual perception	4/823	445/65628	0.00898876404494382	0.716785670402883	-0.675561657348075	0.809984523613298	0.849037561197021	0.773459366111969	ENSMUSG00000026239(Pde6d)/ENSMUSG00000109658(Gm45660)/ENSMUSG00000032172(Olfm2)/ENSMUSG00000002058(Unc119)	4	biological_process
GO:0007602	phototransduction	1/823	28/65628	0.0357142857142857	2.84794306544003	1.10218023483755	0.297720649482675	0.499585417933409	0.455114164947869	ENSMUSG00000026239(Pde6d)	1	biological_process
GO:0007605	sensory perception of sound	1/823	467/65628	0.00214132762312634	0.170754616343299	-2.02667713841089	0.997300110227902	0.997466363775235	0.908675583628951	ENSMUSG00000022114(Spry2)	1	biological_process
GO:0007611	learning or memory	1/823	125/65628	0.008	0.637939246658566	-0.456607244646173	0.793810734876028	0.838394625464956	0.763763825300692	ENSMUSG00000018566(Slc2a4)	1	biological_process
GO:0007612	learning	2/823	178/65628	0.0112359550561798	0.895982088003604	-0.15660305986643	0.655467663596066	0.735612181415672	0.67013069567835	ENSMUSG00000022602(Arc)/ENSMUSG00000045903(Npas4)	2	biological_process
GO:0007613	memory	2/823	247/65628	0.00809716599190283	0.645687496617982	-0.628703838285148	0.817342582025096	0.853306159338563	0.77734798937628	ENSMUSG00000027365(Trpm7)/ENSMUSG00000040481(Bptf)	2	biological_process
GO:0007614	short-term memory	3/823	29/65628	0.103448275862069	8.24921439644698	4.4002593027934	0.00563194148643412	0.175443510547099	0.15982617572879	ENSMUSG00000000753(Serpinf1)/ENSMUSG00000018566(Slc2a4)/ENSMUSG00000045903(Npas4)	3	biological_process
GO:0007616	long-term memory	5/823	88/65628	0.0568181818181818	4.53081851320004	3.73508464816887	0.00510136356477256	0.165606370881669	0.150864701987567	ENSMUSG00000046447(Camk2n1)/ENSMUSG00000018566(Slc2a4)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000022602(Arc)/ENSMUSG00000045903(Npas4)	5	biological_process
GO:0007623	circadian rhythm	6/823	252/65628	0.0238095238095238	1.89862871029335	1.61067650524781	0.0992282429005571	0.468540312922619	0.426832580787245	ENSMUSG00000042745(Id1)/ENSMUSG00000023087(Noct)/ENSMUSG00000007872(Id3)/ENSMUSG00000030103(Bhlhe40)/ENSMUSG00000053907(Mat2a)/ENSMUSG00000032423(Syncrip)	6	biological_process
GO:0007626	locomotory behavior	1/823	260/65628	0.00384615384615385	0.306701560893541	-1.26229608054614	0.962658420858686	0.970208682983068	0.883844281139262	ENSMUSG00000032172(Olfm2)	1	biological_process
GO:0007628	adult walking behavior	2/823	159/65628	0.0125786163522013	1.0030491299663	0.00433804028427093	0.594373920265442	0.689808343057996	0.628404146229023	ENSMUSG00000022111(Uchl3)/ENSMUSG00000043991(Pura)	2	biological_process
GO:0007631	feeding behavior	1/823	49/65628	0.0204081632653061	1.6273960373943	0.495101625843179	0.46129742569863	0.595496551215812	0.542487642567753	ENSMUSG00000038418(Egr1)	1	biological_process
GO:0008013	beta-catenin binding	7/823	382/65628	0.0183246073298429	1.46124827441425	1.01888795002122	0.206289187388022	0.474095999091945	0.431893720245887	ENSMUSG00000050332(Amer1)/ENSMUSG00000027630(Tbl1xr1)/ENSMUSG00000003032(Klf4)/ENSMUSG00000028990(Lzic)/ENSMUSG00000020733(Nherf1)/ENSMUSG00000005871(Apc)/ENSMUSG00000037815(Ctnna1)	7	molecular_function
GO:0008021	synaptic vesicle	8/823	434/65628	0.0184331797235023	1.46990609829163	1.10685076085085	0.181642237825451	0.468540312922619	0.426832580787245	ENSMUSG00000056708(Ier5)/ENSMUSG00000035297(Cops4)/ENSMUSG00000034312(Iqsec1)/ENSMUSG00000037519(Ppfia1)/ENSMUSG00000003380(Rabac1)/ENSMUSG00000000486(Septin1)/ENSMUSG00000031918(Mtmr2)/ENSMUSG00000024063(Lbh)	8	cellular_component
GO:0008023	transcription elongation factor complex	3/823	56/65628	0.0535714285714286	4.27191459816004	2.76041064727788	0.0333478258263719	0.313967136597123	0.286018939032604	ENSMUSG00000049866(Arl4c)/ENSMUSG00000049470(Aff4)/ENSMUSG00000034525(Ice1)	3	cellular_component
GO:0008024	cyclin/CDK positive transcription elongation factor complex	1/823	18/65628	0.0555555555555556	4.43013365735115	1.6402090833784	0.203225623497739	0.473017224805302	0.430910974471074	ENSMUSG00000003119(Cdk12)	1	cellular_component
GO:0008033	tRNA processing	1/823	39/65628	0.0256410256410256	2.04467707262361	0.735420612575802	0.388787570289289	0.558352363185557	0.508649893283586	ENSMUSG00000068882(Ssb)	1	biological_process
GO:0008045	motor neuron axon guidance	1/823	72/65628	0.0138888888888889	1.10753341433779	0.102882236477651	0.597117953277297	0.690998787207198	0.629488621426722	ENSMUSG00000017724(Etv4)	1	biological_process
GO:0008046	axon guidance receptor activity	1/823	35/65628	0.0285714285714286	2.27835445235202	0.852498256287727	0.357124208335863	0.539847206137496	0.491791997126417	ENSMUSG00000058056(Palld)	1	molecular_function
GO:0008047	enzyme activator activity	2/823	76/65628	0.0263157894736842	2.09848436400844	1.07980327013726	0.24685552147857	0.484747787108426	0.441597325343843	ENSMUSG00000042747(Krtcap2)/ENSMUSG00000028757(Ddost)	2	molecular_function
GO:0008053	mitochondrial fusion	2/823	43/65628	0.0465116279069767	3.70894910848004	2.00248719969503	0.101354084164897	0.468540312922619	0.426832580787245	ENSMUSG00000038612(Mcl1)/ENSMUSG00000027668(Mfn1)	2	biological_process
