id	baseMean	log2FoldChange	pvalue	padj	Direction
ENSMUSG00000026603(Smyd2)	1.78275176159897	1.29310218416847	0.571337191328665	NA	No
ENSMUSG00000013275(Slc41a1)	18.2251082780642	-0.371730222585095	0.596608268956503	0.761127598820156	No
ENSMUSG00000026433(Rab29)	0.789246473902359	-1.37807669309621	0.677506727311601	NA	No
ENSMUSG00000026434(Nucks1)	76.2222602502217	0.462225802057955	0.203907022935136	0.399062718899344	No
ENSMUSG00000089872(Rps6kc1)	7.86480896882344	0.397496478866365	0.70335171734687	NA	No
ENSMUSG00000026634(Angel2)	4.67732137004178	0.699174696207609	0.648182287259815	NA	No
ENSMUSG00000040297(Suco)	12.2121613733931	0.404068224420044	0.660275385071031	NA	No
ENSMUSG00000037568(Vash2)	41.9538505921953	1.0488104409706	0.028364400499499	0.105824820613582	Up
ENSMUSG00000026632(Tatdn3)	1.25233602995925	-4.01376822899188	0.204156130233076	NA	No
ENSMUSG00000040265(Dnm3)	0.410558394620891	1.99143357999104	0.684204550872417	NA	No
ENSMUSG00000078190(Dnm3os)	0.665979757683939	2.6789446445288	0.506525808085872	NA	No
ENSMUSG00000026628(Atf3)	2.72475928866648	-3.5697785357615	0.101013904306722	NA	No
ENSMUSG00000026024(Als2)	6.27848989639406	2.1897986724497	0.0871693171326641	NA	No
ENSMUSG00000026694(Mettl13)	1.92273253306826	-0.340149745450731	0.867994073037088	NA	No
ENSMUSG00000037499(Nenf)	35.1016404090011	-0.749397390229493	0.248464352619501	0.452496213243785	No
ENSMUSG00000026627(Pacc1)	6.53237949887619	-1.52297701915639	0.199442413979337	NA	No
ENSMUSG00000026626(Ppp2r5a)	6.57462808293738	0.882236796577272	0.450121743917635	NA	No
ENSMUSG00000026696(Vamp4)	13.1757828439211	-1.27876197613563	0.143025619167282	NA	No
ENSMUSG00000026697(Myoc)	0.443986505122626	2.09383418373736	0.660874097039797	NA	No
ENSMUSG00000037474(Dtl)	14.3603379607076	1.00336216902065	0.206031511447733	NA	No
ENSMUSG00000037461(Ints7)	3.94365419083329	0.490134857914872	0.740726024362492	NA	No
ENSMUSG00000026623(Lpgat1)	56.2816632027468	1.18648316206832	0.00702374044556443	0.0390530872380801	Up
ENSMUSG00000026622(Nek2)	6.38164619545273	0.615015932876825	0.595979351232805	NA	No
ENSMUSG00000037434(Slc30a1)	2.41632379229737	0.181507741954365	0.920927406442634	NA	No
ENSMUSG00000040225(Prrc2c)	24.5710159386303	1.18722630239893	0.0646716287640425	0.187177549109667	No
ENSMUSG00000026017(Carf)	0.706213609294144	-1.27548401412863	0.729820713644585	NA	No
ENSMUSG00000037395(Rcor3)	13.8217608930829	-0.0862572377302979	0.915592624413911	NA	No
ENSMUSG00000073664(Nbeal1)	2.12066857762411	1.29587346710544	0.544120247875932	NA	No
ENSMUSG00000049439(Cyp20a1)	4.28945157125915	-0.00972430207014928	0.994501947079253	NA	No
ENSMUSG00000049866(Arl4c)	101.623523425468	-1.25308727676433	0.000160072595437316	0.00181528236197779	Down
ENSMUSG00000036206(Sh3bp4)	34.9612665221064	1.00770736258777	0.0586740263093808	0.176413295223245	No
ENSMUSG00000055013(Agap1)	33.9780177772032	1.13408556666112	0.0338440300632646	0.1204152659039	Up
ENSMUSG00000026586(Prrx1)	16.1911366812508	1.25753982010776	0.103356713194877	0.253989224306222	No
ENSMUSG00000034486(Gbx2)	4.28551779770414	-1.25573418890416	0.377871411018344	NA	No
ENSMUSG00000016262(Sertad4)	30.0970312968155	-0.210220540964955	0.705396958381936	0.828977460887163	No
ENSMUSG00000102162(Gm2367)	41.083022072354	-0.383666584664472	0.426001350273101	0.627253786733055	No
ENSMUSG00000102117(Rpsa-ps1)	145.475161331816	-0.947228700432371	0.000513304087506649	0.00469400205979485	No
ENSMUSG00000026782(Abi2)	19.6270637362826	0.677266885409332	0.321265214698967	0.529447044776135	No
ENSMUSG00000054387(Mdm4)	4.2118558355922	-0.570694128497759	0.6847465906704	NA	No
ENSMUSG00000044337(Ackr3)	136.13848237139	0.0701743252015173	0.802392401447696	0.889523482440598	No
ENSMUSG00000026014(Raph1)	18.917978159435	1.230395155091	0.0799953693446033	0.215967397891398	No
ENSMUSG00000026447(Pik3c2b)	6.35758898744727	1.06599848217786	0.377358815131686	NA	No
ENSMUSG00000046062(Ppp1r15b)	4.46184006971398	0.173942017921858	0.904643423132319	NA	No
ENSMUSG00000026012(Cd28)	0.500934411983699	-2.69297467807815	0.553154603701875	NA	No
ENSMUSG00000026585(Kifap3)	7.54462659156535	-0.10352293411118	0.921977206012092	NA	No
ENSMUSG00000034432(Cops8)	28.1049448384227	-0.702816412496282	0.235474313105261	0.436510912192564	No
ENSMUSG00000081382(Rpl18-ps1)	1793.29652119611	-1.07820780635619	2.85984432495644e-14	3.84112840895711e-12	Down
ENSMUSG00000026584(Scyl3)	2.67718228430168	-0.508721948397054	0.797072970199707	NA	No
ENSMUSG00000052062(Pard3b)	0.632551647182204	2.61160853725507	0.487278554242182	NA	No
ENSMUSG00000084333(Gm11599)	18.1700119552404	-0.459960063763451	0.50781285784446	0.693542949798376	No
ENSMUSG00000048126(Col6a3)	1.39332416765403	1.87067216577662	0.480312867182008	NA	No
ENSMUSG00000041757(Plekha6)	9.83565591790262	-0.266058868372475	0.780824097156392	NA	No
ENSMUSG00000037503(Fam168b)	23.0005927382214	1.11990388527531	0.0778583763808162	0.212332044216211	No
