Species	Au_1	Au_2	Au_3	Au_4	Au_5	Au_6	HC_De_1	HC_De_2	HC_De_3	HC_Sp_1	HC_Sp_2	HC_Sp_3	HLB_De_1	HLB_De_2	HLB_De_3	HLB_Sp_1	HLB_Sp_2	HLB_Sp_3	sus_HLB_1	sus_HLB_2	sus_HLB_3	sus_HLB_4	sus_HLB_5	sus_HLB_6
Pseudomonas fluorescens	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	7	0	0	0	0	1	7
Pseudomonas fluorescens	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	7	0	16	0	0	0	0	0	0
Pseudomonas fluorescens	3	1	8	2	4	4	6	6	0	87.46	5.23	2	2	0	12	46.415	4	150.894	0	1	3	3	2	40
Pseudomonas fluorescens	0	0	0	0	0	0	0	0	1	11	5	0	1	0	2	10	2	30	0	0	0	0	0	18
Pseudomonas fluorescens	0	1	1	0	1	2	1	0	1	21	6	2	0	0	6	16	9	63	1	1	1	0	0	12
Pseudomonas fluorescens	0	0	0	0	0	0	0	0	0	5	0	1	1	0	3	5	2	12	0	0	0	0	0	4
Pseudomonas fluorescens	3	0	9	6	4	2	2	4	3	82	12	2	0	0	6	61	5	154	0	0	1	0	0	14
Pseudomonas fluorescens	1	1	1	0	0	1	0	0	0	12	1	0	0	0	2.735	21	1.11	59.875	0	0	0	0	0	6
Pseudomonas fluorescens	3.892	2	12	3	2	5	4	7	7	82.001	12.163	8.329	10	3	8	58.532	14.723	144.553	5	3	2.729	3	0	2
Pseudomonas fluorescens	2.357	0	0	0	0	0	1	1	1	32.999	2.125	3	1	1	3	23.089	1.277	61.447	0	1	2	1	0	23
Pseudomonas fluorescens	0	0	2	0	0	0	0	0	0	4	2	1	0	0	1	3	0	13	0	0	2	0	0	9
Pseudomonas fluorescens	2	0	1	0	1	1.333	0	2	0	6	0	0	2	0	0	7	2	37.151	0	1	2	1	0	18
Pseudomonas fluorescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pseudomonas fluorescens	0	0	1	0	2	0	2	1	1	37	4	2	0	0	4	30	7	117.681	0	0	1	0	0	29
Pseudomonas fluorescens	1.266	0	3.481	0	0	3	4.688	0	0.5	25.431	2	2	0	1	8	33.491	4	109.119	0	0	2	1	0	29.96
Pseudomonas fluorescens	1	0	2	0	1	2	0	0	0	17.717	2	1	0	1	4	12	3	33	0	0	0	1	0	2
Pseudomonas fluorescens	3	5	17	6	6	12	13	7	3	183.876	15	17	3	2	12	140.441	23	410.608	1	7	2	0	4	56
