ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0047496	vesicle transport along microtubule	10	0.473146079654089	1.12893979374796	0.317399617590822	0.783664335035199	0.73148081287089	4786	tags=80%, list=44%, signal=44%	ENSMUSG00000026028(Trak2)/ENSMUSG00000022678(Nde1)/ENSMUSG00000006740(Kif5b)/ENSMUSG00000020271(Fbxw11)/ENSMUSG00000018736(Ndel1)/ENSMUSG00000032536(Trak1)/ENSMUSG00000024301(Kifc5b)/ENSMUSG00000079553(Kifc1)
GO:0006270	DNA replication initiation	15	0.407298066939994	1.11027020790084	0.317829457364341	0.783664335035199	0.73148081287089	4242	tags=67%, list=39%, signal=40%	ENSMUSG00000024999(Noc3l)/ENSMUSG00000000028(Cdc45)/ENSMUSG00000025395(Prim1)/ENSMUSG00000017499(Cdc6)/ENSMUSG00000032555(Topbp1)/ENSMUSG00000006678(Pola1)/ENSMUSG00000002870(Mcm2)/ENSMUSG00000005410(Mcm5)/ENSMUSG00000026355(Mcm6)/ENSMUSG00000116912(Gm5487)
GO:0046966	nuclear thyroid hormone receptor binding	28	0.349956128852106	1.10462972675561	0.317214700193424	0.783664335035199	0.73148081287089	3605	tags=50%, list=33%, signal=33%	ENSMUSG00000021488(Nsd1)/ENSMUSG00000003778(Brd8)/ENSMUSG00000080818(Gm9434)/ENSMUSG00000026219(Trip12)/ENSMUSG00000006599(Gtf2h1)/ENSMUSG00000018501(Ncor1)/ENSMUSG00000038369(Ncoa6)/ENSMUSG00000034297(Med13)/ENSMUSG00000079487(Med12)/ENSMUSG00000022109(Med4)/ENSMUSG00000037447(Arid5a)/ENSMUSG00000066554(Gm10167)/ENSMUSG00000065954(Tacc1)/ENSMUSG00000043962(Thrap3)
GO:0001890	placenta development	34	0.334457578164252	1.10140181613469	0.317919075144509	0.783664335035199	0.73148081287089	2095	tags=29%, list=19%, signal=24%	ENSMUSG00000020185(E2f7)/ENSMUSG00000040138(Ndp)/ENSMUSG00000024073(Birc6)/ENSMUSG00000042323(Pbrm1)/ENSMUSG00000038545(Cul7)/ENSMUSG00000072082(Ccnf)/ENSMUSG00000027878(Notch2)/ENSMUSG00000014426(Map3k4)/ENSMUSG00000105854(Gm8925)/ENSMUSG00000057367(Birc2)
GO:0046676	negative regulation of insulin secretion	10	0.471129958819746	1.12412927298753	0.319311663479924	0.786332123671648	0.733970955797032	454	tags=20%, list=4%, signal=19%	ENSMUSG00000050556(Kcnb1)/ENSMUSG00000054459(Vsnl1)
GO:0042383	sarcolemma	72	0.287524926037366	1.08882846753324	0.319626168224299	0.786342437165412	0.733980582524272	1331	tags=18%, list=12%, signal=16%	ENSMUSG00000050556(Kcnb1)/ENSMUSG00000000183(Fgf6)/ENSMUSG00000001333(Sync)/ENSMUSG00000026407(Cacna1s)/ENSMUSG00000069601(Ank3)/ENSMUSG00000026463(Atp2b4)/ENSMUSG00000030376(Slc8a2)/ENSMUSG00000101617(Gm6947)/ENSMUSG00000028348(Cavin4)/ENSMUSG00000024236(Svil)/ENSMUSG00000021950(Anxa8)/ENSMUSG00000030592(Ryr1)/ENSMUSG00000026131(Dst)
GO:0016829	lyase activity	10	-0.473035659125164	-1.13583091225147	0.325678496868476	0.78822283769314	0.735735768826688	3183	tags=70%, list=30%, signal=49%	ENSMUSG00000042389(Tsen2)/ENSMUSG00000032298(Neil1)/ENSMUSG00000032763(Ilvbl)/ENSMUSG00000062694(Cav3)/ENSMUSG00000035585(Tsen34)/ENSMUSG00000031792(Usb1)/ENSMUSG00000039616(Mocos)
GO:0019076	viral release from host cell	11	-0.451301589975766	-1.13130694497808	0.32520325203252	0.78822283769314	0.735735768826688	3200	tags=55%, list=30%, signal=38%	ENSMUSG00000079477(Rab7)/ENSMUSG00000041000(Trim62)/ENSMUSG00000033916(Chmp2a)/ENSMUSG00000106988(Tsg101-ps)/ENSMUSG00000066278(Vps37b)/ENSMUSG00000090119(Gm8185)
GO:0010765	positive regulation of sodium ion transport	11	0.464489477389869	1.12921670263191	0.32156862745098	0.78822283769314	0.735735768826688	522	tags=18%, list=5%, signal=17%	ENSMUSG00000050627(Gpd1l)/ENSMUSG00000069601(Ank3)
GO:0098719	sodium ion import across plasma membrane	11	-0.450107699470066	-1.12831414227	0.32520325203252	0.78822283769314	0.735735768826688	722	tags=18%, list=7%, signal=17%	ENSMUSG00000031129(Slc9a9)/ENSMUSG00000030781(Slc5a2)
